# Impulse response of the BRS flame transfer function, as used by the reference model.
# Source: T. Emmert, "Intrinsic Thermoacoustic Feedback of Premixed Flames" (Dr.-Ing.
# dissertation, TU Muenchen), Figure 4.4 -- the impulse response whose frequency response
# is Fig. 2 of Emmert, Bomberg, Jaensch & Polifke, Proc. Combust. Inst. 36 (2017).
# The stem plot is vector graphics; sample values are read from the drawing commands
# (no pixel quantization).  dt = 0.25 ms; density_per_s is the plotted h(t) in 1/s and
# coefficient = h(t_j) * dt is the discrete coefficient of F(f) = sum_j coefficient_j
# * exp(-2i pi f t_j).  The identified response is truncated at 17.5 ms; the zero tail
# up to the plotted 20 ms is kept out.
sample,time_s,density_per_s,coefficient
0,0.000000,2.806,+0.000701
1,0.000250,9.499,+0.002375
2,0.000500,14.511,+0.003628
3,0.000750,9.012,+0.002253
4,0.001000,-8.277,-0.002069
5,0.001250,-25.717,-0.006429
6,0.001500,-25.465,-0.006366
7,0.001750,4.656,+0.001164
8,0.002000,62.930,+0.015732
9,0.002250,134.321,+0.033580
10,0.002500,199.423,+0.049856
11,0.002750,245.504,+0.061376
12,0.003000,273.775,+0.068444
13,0.003250,297.404,+0.074351
14,0.003500,332.284,+0.083071
15,0.003750,387.009,+0.096752
16,0.004000,457.997,+0.114499
17,0.004250,531.575,+0.132894
18,0.004500,590.992,+0.147748
19,0.004750,622.542,+0.155636
20,0.005000,618.708,+0.154677
21,0.005250,577.790,+0.144448
22,0.005500,502.951,+0.125738
23,0.005750,402.145,+0.100536
24,0.006000,287.515,+0.071879
25,0.006250,172.952,+0.043238
26,0.006500,70.212,+0.017553
27,0.006750,-13.945,-0.003486
28,0.007000,-77.785,-0.019446
29,0.007250,-122.588,-0.030647
30,0.007500,-150.657,-0.037664
31,0.007750,-164.700,-0.041175
32,0.008000,-167.895,-0.041974
33,0.008250,-163.842,-0.040960
34,0.008500,-156.038,-0.039010
35,0.008750,-147.444,-0.036861
36,0.009000,-140.196,-0.035049
37,0.009250,-134.730,-0.033683
38,0.009500,-129.416,-0.032354
39,0.009750,-121.394,-0.030348
40,0.010000,-108.410,-0.027103
41,0.010250,-90.499,-0.022625
42,0.010500,-70.133,-0.017533
43,0.010750,-50.591,-0.012648
44,0.011000,-34.395,-0.008599
45,0.011250,-22.522,-0.005630
46,0.011500,-15.004,-0.003751
47,0.011750,-11.422,-0.002855
48,0.012000,-11.018,-0.002755
49,0.012250,-12.431,-0.003108
50,0.012500,-14.012,-0.003503
51,0.012750,-14.382,-0.003595
52,0.013000,-12.969,-0.003242
53,0.013250,-10.043,-0.002511
54,0.013500,-6.309,-0.001577
55,0.013750,-2.492,-0.000623
56,0.014000,0.973,+0.000243
57,0.014250,4.101,+0.001025
58,0.014500,7.330,+0.001832
59,0.014750,11.097,+0.002774
60,0.015000,15.436,+0.003859
61,0.015250,19.657,+0.004914
62,0.015500,22.483,+0.005621
63,0.015750,22.634,+0.005659
64,0.016000,19.472,+0.004868
65,0.016250,13.250,+0.003312
66,0.016500,5.026,+0.001256
67,0.016750,-3.854,-0.000963
68,0.017000,-12.229,-0.003057
69,0.017250,-19.259,-0.004815
